epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.3458,1.50783,1.83244,1.55525,0.58536,0.47809,0.52721,0.26499,1.85702,1.79316,1.94212,0.000664083,0.000664083,0.000664083
2,125.777,1.58211,1.48089,1.63184,0.72296,0.62057,0.69129,0.35211,1.84138,1.95435,2.0088,0.0013044,0.0013044,0.0013044
3,191.848,1.55646,1.45717,1.61453,0.75506,0.65071,0.73355,0.41981,1.56391,1.39318,1.73674,0.00191832,0.00191832,0.00191832
4,259.817,1.51979,1.40204,1.56779,0.68676,0.70567,0.74555,0.4392,1.48601,1.47091,1.66426,0.0018812,0.0018812,0.0018812
5,338.036,1.44549,1.29944,1.51816,0.62908,0.64539,0.716,0.4019,1.53917,1.34323,1.68541,0.0018416,0.0018416,0.0018416
6,419.887,1.37681,1.23143,1.47797,0.84078,0.7961,0.84651,0.50506,1.41756,1.11563,1.61572,0.001802,0.001802,0.001802
7,513.879,1.36894,1.19765,1.47194,0.84653,0.76241,0.86258,0.54869,1.27392,1.0798,1.50049,0.0017624,0.0017624,0.0017624
8,623.104,1.32221,1.12281,1.4266,0.86986,0.83156,0.88326,0.5509,1.26406,1.05978,1.46948,0.0017228,0.0017228,0.0017228
9,753.588,1.29285,1.11779,1.41091,0.88383,0.79585,0.88197,0.55606,1.29034,0.98605,1.49565,0.0016832,0.0016832,0.0016832
10,850.118,1.25349,1.03046,1.38893,0.87225,0.82801,0.90072,0.59363,1.26441,0.93746,1.45966,0.0016436,0.0016436,0.0016436
11,907.812,1.27051,1.04291,1.39807,0.85543,0.83511,0.89481,0.59719,1.17384,0.88404,1.39995,0.001604,0.001604,0.001604
12,963.495,1.2078,0.99581,1.35183,0.90471,0.82488,0.9081,0.60081,1.18274,0.86432,1.39372,0.0015644,0.0015644,0.0015644
