epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1831,2.17207,3.66526,1.46115,0.00319,1,0.59092,0.21516,1.442,3.11125,1.00214,0.00022,0.00022,0.00022
2,12.1369,1.18415,1.66197,1.02654,0.00319,1,0.36713,0.23705,0.9306,2.91968,0.89255,0.00041446,0.00041446,0.00041446
3,13.9566,1.00613,1.31041,0.98454,0.00319,1,0.77577,0.47999,1.03789,2.74237,0.94457,0.0005614,0.0005614,0.0005614
4,15.7296,0.93439,1.12992,0.93194,1,0.85639,0.995,0.77673,0.82205,2.42781,0.91776,0.00066082,0.00066082,0.00066082
5,17.4907,0.89511,1.10184,0.9274,1,0.3164,0.95611,0.72767,0.8554,2.31802,0.94918,0.00071272,0.00071272,0.00071272
6,19.1992,0.85944,1.02478,0.93402,1,0.35863,0.9753,0.74065,0.84198,2.19504,0.9435,0.0007171,0.0007171,0.0007171
7,20.9102,0.84064,0.99971,0.92501,0.94496,1,0.97152,0.79831,0.68201,1.52106,0.87923,0.00067396,0.00067396,0.00067396
8,22.5551,0.73718,0.88672,0.90739,0.93785,1,0.98326,0.84417,0.67316,1.32801,0.87625,0.0005833,0.0005833,0.0005833
9,24.1957,0.78044,0.91299,0.92605,0.95652,0.99999,0.98543,0.8487,0.66418,1.27285,0.88757,0.000416,0.000416,0.000416
10,25.8715,0.71147,0.86246,0.88048,0.94092,1,0.98935,0.87611,0.58957,0.9788,0.88007,0.000218,0.000218,0.000218
